no,tanggal,bulan,hari,keterangan,sumber_info,waktu_info,kelurahan,kecamatan,wilayah,objek_awal,jenis_bangunan,penyebab,korban_jiwa,kerugian
1003,22,7,Senin,Bencana Kebakaran,Masyarakat,20:35,Kalideres,Kalideres,Kota Administrasi Jakarta Barat,Rumah Tinggal Sekaligus Warung Sembako,Bangunan Rendah,Lain,2,50000000
1004,23,7,Selasa,Bencana Kebakaran,Petugas Pemadam,16:30,Bekasi,Bekasi,Kota Bekasi,Gedung KFC,Bangunan Menengah,Kompor,0,500000000
1005,24,7,Rabu,Bencana Kebakaran,Petugas Pemadam,2:30,Bendungan Hilir,Tanah Abang,Kota Administrasi Jakarta Pusat,Gedung UOB,Bangunan Tinggi,Listrik,0,1000000000
1006,24,7,Rabu,Bencana Kebakaran,Masyarakat,9:05,Pondok Pinang,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Panel Listrik PLN,,Listrik,0,10000000
1007,25,7,Kamis,Bencana Kebakaran,Masyarakat,11:00,Rorotan,Cilincing,Kota Administrasi Jakarta Utara,Paled Kayu,,Listrik,0,10000000
1008,26,7,Jumat,Bencana Kebakaran,Petugas Instansi Lain,0:42,Malaka Sari,Duren Sawit,Kota Administrasi Jakarta Timur,MCB,,Listrik,0,5000000
1009,26,7,Jumat,Bencana Kebakaran,Petugas Pemadam,2:25,Ancol,Pademangan,Kota Administrasi Jakarta Utara,Mobil Golf,,Listrik,0,250000000
1010,26,7,Jumat,Bencana Kebakaran,Masyarakat,17:00,Meruya Utara,Kembangan,Kota Administrasi Jakarta Barat,Kabel Udara PLN Dan Kabel Indovision,Bangunan Rendah,Listrik,0,30000000
1011,27,7,Sabtu,Bencana Kebakaran,Masyarakat,2:55,Bendungan Hilir,Tanah Abang,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,0,3000000
1012,27,7,Sabtu,Bencana Kebakaran,Masyarakat,11:45,Duren Sawit,Duren Sawit,Kota Administrasi Jakarta Timur,Mobil Minicup,,Listrik,0,3000000
1013,27,7,Sabtu,Bencana Kebakaran,Masyarakat,13:35,Warakas,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Kompor,18,500000000
1015,27,7,Sabtu,Bencana Kebakaran,Petugas Pemadam,20:18,Cengkareng Timur,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,8,350000000
1016,28,7,Minggu,Bencana Kebakaran,Masyarakat,2:10,Maphar,Tamansari,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,0,60000000
1018,28,7,Minggu,Bencana Kebakaran,Masyarakat,14:30,Cempaka Putih Barat,Cempaka Putih,Kota Administrasi Jakarta Pusat,Rumah Tinggal Lt.2,Bangunan Rendah,Listrik,4,150000000
1019,29,7,Senin,Bencana Kebakaran,Masyarakat,13:20,Cengkareng Barat,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,5,200000000
1020,29,7,Senin,Bencana Kebakaran,Masyarakat,18:10,Kelapa Gading Barat,Kelapa Gading,Kota Administrasi Jakarta Utara,Restaurant,Bangunan Rendah,Lain,0,15000000
1021,29,7,Senin,Bencana Kebakaran,Masyarakat,19:10,Tebet Barat,Tebet,Kota Administrasi Jakarta Selatan,Gardu Listrik,Bangunan Rendah,Listrik,0,50000000
1024,30,7,Selasa,Bencana Kebakaran,Petugas Instansi Lain,3:22,Kapuk,Cengkareng,Kota Administrasi Jakarta Barat,Warung Klontong,,Listrik,1,15000000
1026,30,7,Selasa,Bencana Kebakaran,Masyarakat,23:00,Pancoran,Pancoran,Kota Administrasi Jakarta Selatan,Gudang penyimpanan buku,Bangunan Rendah,Listrik,0,10000000
1028,1,8,Kamis,Bencana Kebakaran,Masyarakat,10:15,Taman Sari,Tamansari,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,5,2000000
1029,1,8,Kamis,Bencana Kebakaran,Masyarakat,15:48,Kapuk,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,10,500000000
1030,1,8,Kamis,Bencana Kebakaran,Masyarakat,17:25,Kedaung Kali Angke,Cengkareng,Kota Administrasi Jakarta Barat,Warnet,Bangunan Rendah,Listrik,5,30000000
1031,1,8,Kamis,Bencana Kebakaran,Masyarakat,17:48,Kembangan Utara,Kembangan,Kota Administrasi Jakarta Barat,Rumah Kontrakan,Bangunan Rendah,Listrik,0,30000000
1034,2,8,Jumat,Bencana Kebakaran,Petugas Pemadam,9:10,Cijantung,Pasar Rebo,Kota Administrasi Jakarta Timur,Workshop,Bangunan Rendah,Listrik,0,80000000
1036,2,8,Jumat,Bencana Kebakaran,Masyarakat,23:55,Penjaringan,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,0,70000000
1037,3,8,Sabtu,Bencana Kebakaran,Masyarakat,9:40,cipinang besar selatan,Jatinegara,Kota Administrasi Jakarta Timur,panel pompa,,Listrik,0,5000000000
1038,3,8,Sabtu,Bencana Kebakaran,Masyarakat,17:45,Kebayoran Lama Utara,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Rumah Petakan,Bangunan Rendah,Listrik,86,1200000000
1039,3,8,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,17:20,Kamal Muara,Penjaringan,Kota Administrasi Jakarta Utara,sekolah,Bangunan Rendah,Listrik,0,10000000
1041,3,8,Sabtu,Bencana Kebakaran,Masyarakat,23:30,Utan Kayu Utara,Matraman,Kota Administrasi Jakarta Timur,Panel Listrik,Bangunan Rendah,Listrik,0,2000000
1042,3,8,Sabtu,Bencana Kebakaran,Masyarakat,23:45,Menteng Atas,Setiabudi,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,4,2000000
1044,4,8,Minggu,Bencana Kebakaran,Masyarakat,10:20,Mangga Besar,Tamansari,Kota Administrasi Jakarta Barat,Ruko,Bangunan Rendah,Listrik,5,30000000
1046,4,8,Minggu,Bencana Kebakaran,Masyarakat,19:10,Penggilingan,Cakung,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Lain,15,400000000
1051,6,8,Selasa,Bencana Kebakaran,Masyarakat,11:55,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,6,90000000
1052,6,8,Selasa,Bencana Kebakaran,Petugas Instansi Lain,15:45,Melawai,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Restoran,Bangunan Menengah,Kompor,0,55000000
1053,6,8,Selasa,Bencana Kebakaran,Masyarakat,8:13,Cikini,Menteng,Kota Administrasi Jakarta Pusat,Asrama Perawat,Bangunan Menengah,Listrik,0,20000000
1054,7,8,Rabu,Bencana Kebakaran,Masyarakat,1:50,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,Mobil Tangki BBM,,Lain,0,150000000
1055,7,8,Rabu,Bencana Kebakaran,Masyarakat,3:50,Cakung Barat,Cakung,Kota Administrasi Jakarta Timur,Gudang Meuble,Bangunan Menengah,Listrik,0,960000000
1056,7,8,Rabu,Bencana Kebakaran,Masyarakat,4:30,Tomang,Grogol Petamburan,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,15,500000000
1058,7,8,Rabu,Bencana Kebakaran,Masyarakat,23:15,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,3,15000000
1060,8,8,Kamis,Bencana Kebakaran,Masyarakat,1:05,Jatinegara Kaum,Pulogadung,Kota Administrasi Jakarta Timur,Rumah Tinggal Petak,Bangunan Rendah,Kompor,13,150000000
1065,9,8,Jumat,Bencana Kebakaran,Masyarakat,2:30,Kebon Jeruk,Kebun Jeruk,Kota Administrasi Jakarta Barat,Mobil Sedan Terbakar,,Listrik,0,120000000
1067,9,8,Jumat,Bencana Kebakaran,Masyarakat,12:45,Bintaro,Pesanggrahan,Kota Administrasi Jakarta Selatan,Rumah Kontrakan,Bangunan Rendah,Lain,4,75000000
1068,9,8,Jumat,Bencana Kebakaran,Masyarakat,18:05,Cijantung,Pasar Rebo,Kota Administrasi Jakarta Timur,Kompor LPG,Bangunan Rendah,Kompor,6,1000000
1069,9,8,Jumat,Bencana Kebakaran,Masyarakat,20:35,Kemanggisan,Palmerah,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,3,50000000
1072,9,8,Jumat,Bencana Kebakaran,Petugas Pemadam,18:05,Cempaka Baru,Kemayoran,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,0,300000000
1073,10,8,Sabtu,Bencana Kebakaran,Masyarakat,2:05,Pondok Bambu,Duren Sawit,Kota Administrasi Jakarta Timur,Tumpukan Kayu,,Lain,0,5000000
1074,10,8,Sabtu,Bencana Kebakaran,Petugas Pemadam,1:35,Angke,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,18,500000000
1075,10,8,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,5:30,Meruya Selatan,Kembangan,Kota Administrasi Jakarta Barat,Kios,Bangunan Rendah,Listrik,6,120000000
1076,10,8,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,8:25,Halim Perdana Kusuma,Makasar,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,4,300000000
1077,10,8,Sabtu,Bencana Kebakaran,Masyarakat,12:30,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,50,1200000000
1078,10,8,Sabtu,Bencana Kebakaran,Masyarakat,11:40,Kebon Jeruk,Kebun Jeruk,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,4,30000000
1080,11,8,Minggu,Bencana Kebakaran,Masyarakat,1:45,Bali Mester,Jatinegara,Kota Administrasi Jakarta Timur,Toko,Bangunan Menengah,Listrik,0,800000000
1081,11,8,Minggu,Bencana Kebakaran,Masyarakat,11:10,Jatipadang,Pasar Minggu,Kota Administrasi Jakarta Selatan,Mobil Fiat,,Listrik,0,15000000
1082,11,8,Minggu,Bencana Kebakaran,Masyarakat,12:12,Pejaten Barat,Pasar Minggu,Kota Administrasi Jakarta Selatan,Gudang,Bangunan Rendah,Listrik,3,15000000
1083,11,8,Minggu,Bencana Kebakaran,Masyarakat,12:50,Utan Kayu Selatan,Matraman,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,0,50000000
1084,12,8,Senin,Bencana Kebakaran,Petugas Pemadam,14:45,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,Bengkel mobil service jok.,Bangunan Menengah,Rokok,15,500000000
1085,13,8,Selasa,Bencana Kebakaran,Masyarakat,2:42,Cakung Barat,Cakung,Kota Administrasi Jakarta Timur,Rumah Kontrakan,Bangunan Rendah,Listrik,8,216000000
1087,13,8,Selasa,Bencana Kebakaran,Masyarakat,11:00,Tangerang,Tangerang,Kota Tangerang,Rumah Tinggal,Bangunan Rendah,Listrik,5,1000000
1089,13,8,Selasa,Bencana Kebakaran,Petugas Instansi Lain,15:20,Ragunan,Pasar Minggu,Kota Administrasi Jakarta Selatan,Gudang,Bangunan Rendah,Rokok,1,5000000
1090,13,8,Selasa,Bencana Kebakaran,Masyarakat,17:30,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,0,10000000
1092,14,8,Rabu,Bencana Kebakaran,Masyarakat,13:05,Manggarai Selatan,Tebet,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,9,75000000
1094,15,8,Kamis,Bencana Kebakaran,Petugas Pemadam,11:30,Kebon Jeruk,Kebun Jeruk,Kota Administrasi Jakarta Barat,Gardu Listrik,,Listrik,0,5000000
1095,15,8,Kamis,Bencana Kebakaran,Masyarakat,21:30,Penjaringan,Penjaringan,Kota Administrasi Jakarta Utara,Kapal Laut,,Lain,0,5000000000
1097,16,8,Jumat,Bencana Kebakaran,Masyarakat,19:20,Tangerang,Tangerang,Kota Tangerang,Rumah Tinggal,Bangunan Rendah,Listrik,0,57000000
1098,16,8,Jumat,Bencana Kebakaran,Masyarakat,23:20,Gunung Sahari Utara,Sawah Besar,Kota Administrasi Jakarta Pusat,Gd. OCBC NISP,Bangunan Tinggi,Listrik,0,5000000
1100,17,8,Sabtu,Bencana Kebakaran,Masyarakat,9:00,Kali Anyar,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,11,1000000
1101,17,8,Sabtu,Bencana Kebakaran,Masyarakat,20:20,Gunung Sahari Utara,Sawah Besar,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Lain,0,10000000
1102,17,8,Sabtu,Bencana Kebakaran,Masyarakat,21:20,karet tengsin,Tanah Abang,Kota Administrasi Jakarta Pusat,Toyota Yaris,,Listrik,0,200000000
1103,18,8,Minggu,Bencana Kebakaran,Petugas Pemadam,4:00,Duri Kosambi,Cengkareng,Kota Administrasi Jakarta Barat,Lapak Madura,Bangunan Rendah,Listrik,0,250000000
1104,19,8,Senin,Bencana Kebakaran,Masyarakat,0:35,Pegadungan,Kalideres,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Lain,4,70000000
1106,19,8,Senin,Bencana Kebakaran,Petugas Instansi Lain,11:30,Kelapa Gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,Tiang Listrik PLN,,Listrik,0,5000000
1107,19,8,Senin,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Masyarakat,11:30,Srengseng,Kembangan,Kota Administrasi Jakarta Barat,Pohon Tumbang,,Lain,0,1000000
1108,19,8,Senin,Bencana Kebakaran,Masyarakat,17:00,Cengkareng Barat,Cengkareng,Kota Administrasi Jakarta Barat,RumahTinggal,Bangunan Rendah,Listrik,8,50000000
1109,19,8,Senin,Bencana Kebakaran,Masyarakat,19:40,Manggarai Selatan,Tebet,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,4,10000000
1110,19,8,Senin,Bencana Kebakaran,Petugas Instansi Lain,22:45,Kapuk Muara,Penjaringan,Kota Administrasi Jakarta Utara,PT. Zebra Asaba Industri,Bangunan Rendah,Listrik,0,500000000
1112,20,8,Selasa,Bencana Kebakaran,Masyarakat,6:40,Gunung Sahari Selatan,Kemayoran,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,0,1500000
1113,20,8,Selasa,Bencana Kebakaran,Masyarakat,7:50,Sukabumi Utara,Kebun Jeruk,Kota Administrasi Jakarta Barat,Toko Meubel,Bangunan Rendah,Listrik,0,250000000
1114,20,8,Selasa,Bencana Kebakaran,Masyarakat,17:30,Kartini,Sawah Besar,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,0,10000000
1115,20,8,Selasa,Bencana Kebakaran,Masyarakat,18:00,Cikini,Menteng,Kota Administrasi Jakarta Pusat,Gedung IKJ,Bangunan Rendah,Listrik,0,120000000
1117,21,8,Rabu,Bencana Kebakaran,Masyarakat,20:06,Taman Sari,Tamansari,Kota Administrasi Jakarta Barat,Kabel tegangan tinggi (Bawah tanah PLN),,Listrik,0,700000000
1118,22,8,Kamis,Bencana Kebakaran,Masyarakat,9:45,Mangga Dua Selatan,Sawah Besar,Kota Administrasi Jakarta Pusat,Kios,Bangunan Rendah,Listrik,0,30000000
1119,22,8,Kamis,Bencana Kebakaran,Masyarakat,14:05,Kelapa Gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,Ruko,Bangunan Rendah,Kompor,0,10000000
1122,23,8,Jumat,Bencana Kebakaran,Masyarakat,1:45,Kartini,Sawah Besar,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,0,50000000
1123,23,8,Jumat,Bencana Kebakaran,Masyarakat,4:30,Depok,Depok,Kota Depok,Rumah Tinggal,Bangunan Rendah,Listrik,9,1000000000
1124,23,8,Jumat,Bencana Kebakaran,Masyarakat,9:05,Sunter Agung,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,0,100000000
1125,23,8,Jumat,Bencana Kebakaran,Petugas Pemadam,15:45,Pinangsia,Tamansari,Kota Administrasi Jakarta Barat,Toko Elektronik,Bangunan Rendah,Lain,0,5000000
1127,24,8,Sabtu,Bencana Kebakaran,Masyarakat,11:30,Rawa Terate,Cakung,Kota Administrasi Jakarta Timur,Tumpukan Kayu,,Lain,0,5000000
1130,24,8,Sabtu,Bencana Kebakaran,Masyarakat,23:15,Pondok Rangon,Cipayung,Kota Administrasi Jakarta Timur,Tumpukan Barang Rongsokan,,Lain,0,5000000
1132,25,8,Minggu,Bencana Kebakaran,Masyarakat,0:05,Jatinegara Kaum,Pulogadung,Kota Administrasi Jakarta Timur,Kamar Mandi Karyawan,Bangunan Menengah,Listrik,26,1926000000
1133,25,8,Minggu,Bencana Kebakaran,Masyarakat,7:10,Klender,Duren Sawit,Kota Administrasi Jakarta Timur,Rumah Kosong,Bangunan Rendah,Lain,0,5000000
1134,25,8,Minggu,Bencana Kebakaran,Petugas Pemadam,15:10,Cibubur,Ciracas,Kota Administrasi Jakarta Timur,Sekolah SMK 52,Bangunan Rendah,Listrik,0,700000000
1135,26,8,Senin,Bencana Kebakaran,Masyarakat,12:25,Sukabumi Utara,Kebun Jeruk,Kota Administrasi Jakarta Barat,Rumah Tinggal Berlantai II,Bangunan Rendah,Listrik,7,800000000
1137,26,8,Senin,Bencana Kebakaran,Masyarakat,18:30,Krendang,Tambora,Kota Administrasi Jakarta Barat,Rumah Konveksi,Bangunan Rendah,Listrik,0,2000000
1138,26,8,Senin,Bencana Kebakaran,Masyarakat,21:48,Grogol Selatan,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Percetakan,Bangunan Rendah,Listrik,3,4000000000
1139,27,8,Selasa,Bencana Kebakaran,Masyarakat,2:15,Kelapa Dua,Kebun Jeruk,Kota Administrasi Jakarta Barat,Kabel Udara PLN,,Listrik,0,2000000
1141,27,8,Selasa,Bencana Kebakaran,Masyarakat,9:15,Cipete Utara,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Warung Makan,Bangunan Rendah,Listrik,15,155000000
1142,27,8,Selasa,Bencana Kebakaran,Petugas Instansi Lain,20:10,Grogol Selatan,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Toko Abadi Jaya,Bangunan Rendah,Rokok,0,3000000
1143,27,8,Selasa,Bencana Kebakaran,Masyarakat,20:15,Menteng Atas,Setiabudi,Kota Administrasi Jakarta Selatan,Pemanas Air  (Water Heater),,Listrik,4,10000000
1144,27,8,Selasa,Bencana Kebakaran,Masyarakat,23:45,Duri Kosambi,Cengkareng,Kota Administrasi Jakarta Barat,Kabel Udara PLN,,Listrik,0,5000000
1145,28,8,Rabu,Bencana Kebakaran,Masyarakat,8:15,Lagoa,Koja,Kota Administrasi Jakarta Utara,Rumah Tinggal Kosan,Bangunan Rendah,Listrik,3,30000000
1146,28,8,Rabu,Bencana Kebakaran,Masyarakat,9:10,Kalideres,Kalideres,Kota Administrasi Jakarta Barat,Rumah Kontrakan,Bangunan Rendah,Lain,5,15000000
1147,28,8,Rabu,Bencana Kebakaran,Petugas Instansi Lain,19:10,Kebagusan,Pasar Minggu,Kota Administrasi Jakarta Selatan,Mobil Kijang Inova B.8392NS,,Listrik,0,50000000
1149,29,8,Kamis,Bencana Kebakaran,Masyarakat,17:45,Duri Kepa,Kebun Jeruk,Kota Administrasi Jakarta Barat,Rumah Kontrakan,Bangunan Rendah,Listrik,80,160000000
1150,30,8,Jumat,Bencana Kebakaran,Masyarakat,3:05,Kebon Melati,Tanah Abang,Kota Administrasi Jakarta Pusat,Rumah Kontrakan,Bangunan Rendah,Listrik,3,20000000
1151,30,8,Jumat,Bencana Kebakaran,Masyarakat,6:20,Gandaria Utara,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,17,300000000
1152,30,8,Jumat,Bencana Kebakaran,Masyarakat,9:30,Kebon Jeruk,Kebun Jeruk,Kota Administrasi Jakarta Barat,Travo Tiang Listrik,,Listrik,0,50000000
1153,30,8,Jumat,Bencana Kebakaran,Masyarakat,12:10,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,Lapak Pemulung,Bangunan Rendah,Lain,50,50000000
1154,30,8,Jumat,Bencana Kebakaran,Masyarakat,17:50,Sunter Agung,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal 3 Lantai,Bangunan Rendah,Listrik,5,30000000
1155,30,8,Jumat,Bencana Kebakaran,Masyarakat,19:31,Petojo Selatan,Gambir,Kota Administrasi Jakarta Pusat,Kabel Bawah Tanah PLN,,Listrik,0,1000000
1156,31,8,Sabtu,Bencana Kebakaran,Masyarakat,0:55,Duri Selatan,Tambora,Kota Administrasi Jakarta Barat,Kabel Udara PLN,,Listrik,0,10000000
1159,31,8,Sabtu,Bencana Kebakaran,Masyarakat,10:45,Johar Baru,Johar Baru,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,4,1000000
1160,31,8,Sabtu,Bencana Kebakaran,Petugas Pemadam,14:25,Lagoa,Koja,Kota Administrasi Jakarta Utara,Motor,,Listrik,0,2000000
1161,31,8,Sabtu,Bencana Kebakaran,Masyarakat,19:10,Pondok Kelapa,Duren Sawit,Kota Administrasi Jakarta Timur,Mobil,,Listrik,0,6000000
1162,31,8,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,20:35,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,Rumah Konveksi,Bangunan Rendah,Listrik,15,10000000
1163,1,9,Minggu,Bencana Kebakaran,Masyarakat,5:30,Tanjung Duren Utara,Grogol Petamburan,Kota Administrasi Jakarta Barat,Kabel Udara PLN,,Listrik,0,1000000
1164,2,9,Senin,Bencana Kebakaran,Masyarakat,8:22,Cengkareng Timur,Cengkareng,Kota Administrasi Jakarta Barat,AC (Pendingin Udara),,Listrik,0,15000000
1165,2,9,Senin,Bencana Kebakaran,Masyarakat,13:50,Tebet Barat,Tebet,Kota Administrasi Jakarta Selatan,Mobil Daihatsu Espass,,Listrik,0,75000000
1167,2,9,Senin,Bencana Kebakaran,Masyarakat,14:55,Kemanggisan,Palmerah,Kota Administrasi Jakarta Barat,Rumah Tinggal 2 lantai,Bangunan Rendah,Listrik,4,100000000
1169,2,9,Senin,Bencana Kebakaran,Masyarakat,22:50,Pondok Kelapa,Duren Sawit,Kota Administrasi Jakarta Timur,Rumah Petakan,Bangunan Rendah,Listrik,6,350000000
1170,3,9,Selasa,Bencana Kebakaran,Masyarakat,21:22,Tanah Tinggi,Johar Baru,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,0,5000000
1171,3,9,Selasa,Bencana Kebakaran,Petugas Pemadam,22:20,Pegangsaan,Menteng,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,0,1000000
1172,4,9,Rabu,Bencana Kebakaran,Masyarakat,8:20,Harapan Mulia,Kemayoran,Kota Administrasi Jakarta Pusat,Ruko Lantai IV,Bangunan Menengah,Listrik,6,15000000
1173,4,9,Rabu,Bencana Kebakaran,Masyarakat,23:05,Duri Kepa,Kebun Jeruk,Kota Administrasi Jakarta Barat,Ruko Lantai IV,Bangunan Rendah,Listrik,0,650000000
1174,4,9,Rabu,Bencana Kebakaran,Masyarakat,2:05,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,Ruko,Bangunan Menengah,Listrik,8,1000000000
1175,5,9,Kamis,Bencana Kebakaran,Petugas Pemadam,17:50,Ciracas,Ciracas,Kota Administrasi Jakarta Timur,Gerobak Gorengan,,Kompor,0,1500000
1176,5,9,Kamis,Bencana Kebakaran,Petugas Instansi Lain,20:20,Kembangan Selatan,Kembangan,Kota Administrasi Jakarta Barat,Pos Satpam,Bangunan Rendah,Listrik,0,1000000
1177,6,9,Jumat,Bencana Kebakaran,Masyarakat,0:25,Cengkareng Timur,Cengkareng,Kota Administrasi Jakarta Barat,Mobil (Honda Jazz),Bangunan Rendah,Listrik,0,100000000
1178,6,9,Jumat,Bencana Kebakaran,Petugas Pemadam,11:55,Rawa Buaya,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,10,200000000
1179,6,9,Jumat,Bencana Kebakaran,Masyarakat,23:50,Jembatan Besi,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,4,100000000
1180,8,9,Minggu,Bencana Kebakaran,Masyarakat,3:45,Halim Perdana Kusuma,Makasar,Kota Administrasi Jakarta Timur,Kabel PLN,,Listrik,0,1000000
1181,8,9,Minggu,Bencana Kebakaran,Masyarakat,7:42,Utan Kayu Utara,Matraman,Kota Administrasi Jakarta Timur,Dispenser,Bangunan Rendah,Listrik,0,1000000
1182,8,9,Minggu,Bencana Kebakaran,Masyarakat,8:40,Kamal,Kalideres,Kota Administrasi Jakarta Barat,Ruangan Kantor,Bangunan Menengah,Listrik,0,75000000
1183,8,9,Minggu,Bencana Kebakaran,Masyarakat,9:07,Pondok Bambu,Duren Sawit,Kota Administrasi Jakarta Timur,Toko Meuble,Bangunan Menengah,Listrik,0,900000000
1185,8,9,Minggu,Bencana Kebakaran,Masyarakat,22:25,Cakung Timur,Cakung,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,5,50000000
1186,8,9,Minggu,Bencana Kebakaran,Petugas Instansi Lain,23:13,Galur,Johar Baru,Kota Administrasi Jakarta Pusat,Bus Trans Jakarta,,Lain,0,45000000
1187,8,9,Minggu,Bencana Kebakaran,Masyarakat,21:35,Ciracas,Ciracas,Kota Administrasi Jakarta Timur,Ruang dapur,Bangunan Rendah,Listrik,4,20000000
1188,8,9,Minggu,Bencana Kebakaran,Masyarakat,22:55,Meruya Utara,Kembangan,Kota Administrasi Jakarta Barat,Gardu Listrik,,Listrik,0,5000000
1190,9,9,Senin,Bencana Kebakaran,Masyarakat,17:00,Kelapa Gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,8,5000000
1191,9,9,Senin,Bencana Kebakaran,Masyarakat,20:10,Utan Panjang,Kemayoran,Kota Administrasi Jakarta Pusat,Bengkel,Bangunan Rendah,Lain,12,30000000
1192,9,9,Senin,Bencana Kebakaran,Masyarakat,20:35,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Lain,20,750000000
1193,9,9,Senin,Bencana Kebakaran,Masyarakat,19:30,Wijaya Kusuma,Grogol Petamburan,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Rokok,0,5000000
1194,10,9,Selasa,Bencana Kebakaran,Masyarakat,11:25,Kampung Tengah,Kramat Jati,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Rokok,5,5000000
1195,11,9,Rabu,Bencana Kebakaran,Masyarakat,9:35,Pela Mampang,Mampang Prapatan,Kota Administrasi Jakarta Selatan,Kantor RW 07,Bangunan Rendah,Listrik,0,50000000
1196,11,9,Rabu,Bencana Kebakaran,Masyarakat,22:20,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,Mushola,Bangunan Rendah,Listrik,0,15000000
